==============================================================================
029D : STA 29     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
029F : LDA 21     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02A1 : SBC #00    :      322 cycles (  0.001706%)      161 ins (2.00 cpi)
02A3 : STA 2A     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02A5 : LDA #00    :      322 cycles (  0.001706%)      161 ins (2.00 cpi)
02A7 : SBC 0477,X :      644 cycles (  0.003413%)      161 ins (4.00 cpi)
02AA : STA 2B     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02AC : LDA 23     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02AE : STA 25     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02B0 : LDA 24     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02B2 : STA 26     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02B4 : LDA 23     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02B6 : SBC #8F    :      322 cycles (  0.001706%)      161 ins (2.00 cpi)
02B8 : STA 2D     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02BA : LDA 24     :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
02BC : SBC #04    :      322 cycles (  0.001706%)      161 ins (2.00 cpi)
02BE : BPL 02CA   :      476 cycles (  0.002522%)      161 ins (2.96 cpi)
02C0 : INC 2D     :       35 cycles (  0.000185%)        7 ins (5.00 cpi)
02C2 : STZ 2E     :       21 cycles (  0.000111%)        7 ins (3.00 cpi)
02C4 : LDA 20     :       21 cycles (  0.000111%)        7 ins (3.00 cpi)
02C6 : STA 2F     :       21 cycles (  0.000111%)        7 ins (3.00 cpi)
02C8 : BRA 02D3   :       21 cycles (  0.000111%)        7 ins (3.00 cpi)
02CA : STA 2E     :      462 cycles (  0.002448%)      154 ins (3.00 cpi)
02CC : LDA 0477,X :      616 cycles (  0.003264%)      154 ins (4.00 cpi)
02CF : ADC #1D    :      308 cycles (  0.001632%)      154 ins (2.00 cpi)
02D1 : STA 2F     :      462 cycles (  0.002448%)      154 ins (3.00 cpi)
02D3 : LDA 2B     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
02D5 : AND #01    :     9660 cycles (  0.051191%)     4830 ins (2.00 cpi)
02D7 : BEQ 0322   :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
02D9 : LDY #07    :     4830 cycles (  0.025596%)     2415 ins (2.00 cpi)
02DB : CLC        :     4830 cycles (  0.025596%)     2415 ins (2.00 cpi)
02DC : LDA 2B     :     7245 cycles (  0.038393%)     2415 ins (3.00 cpi)
02DE : ADC 0480,Y :    45724 cycles (  0.242305%)    11431 ins (4.00 cpi) *
02E1 : BPL 02E8   :    25277 cycles (  0.133950%)    11431 ins (2.21 cpi)
02E3 : DEY        :    18032 cycles (  0.095557%)     9016 ins (2.00 cpi)
02E4 : BPL 02DE   :    27048 cycles (  0.143336%)     9016 ins (3.00 cpi) *
02E8 : BNE 0322   :     7084 cycles (  0.037540%)     2415 ins (2.93 cpi)
02EA : LDA 25     :     3864 cycles (  0.020477%)     1288 ins (3.00 cpi)
02EC : STA 27     :     3864 cycles (  0.020477%)     1288 ins (3.00 cpi)
02EE : LDA 26     :     3864 cycles (  0.020477%)     1288 ins (3.00 cpi)
02F0 : STA 28     :     3864 cycles (  0.020477%)     1288 ins (3.00 cpi)
02F2 : LDA 0487,Y :     5152 cycles (  0.027302%)     1288 ins (4.00 cpi)
02F5 : TAY        :     2576 cycles (  0.013651%)     1288 ins (2.00 cpi)
02F6 : CLC        :     2576 cycles (  0.013651%)     1288 ins (2.00 cpi)
02F7 : LDA 21     :     3864 cycles (  0.020477%)     1288 ins (3.00 cpi)
02F9 : BNE 030F   :     4336 cycles (  0.022978%)     1288 ins (3.37 cpi)
02FB : TYA        :   480492 cycles (  2.546272%)   240246 ins (2.00 cpi) *******************
02FC : ORA (27)   :  1201230 cycles (  6.365680%)   240246 ins (5.00 cpi) ***********************************************
02FE : STA (27)   :  1201230 cycles (  6.365680%)   240246 ins (5.00 cpi) ***********************************************
0300 : LDA 27     :   720738 cycles (  3.819408%)   240246 ins (3.00 cpi) ****************************
0302 : ADC 20     :   720738 cycles (  3.819408%)   240246 ins (3.00 cpi) ****************************
0304 : STA 27     :   720738 cycles (  3.819408%)   240246 ins (3.00 cpi) ****************************
0306 : BCC 02FB   :   859932 cycles (  4.557039%)   240246 ins (3.58 cpi) **********************************
0308 : CLC        :   101052 cycles (  0.535505%)    50526 ins (2.00 cpi) ***
0309 : INC 28     :   252630 cycles (  1.338763%)    50526 ins (5.00 cpi) *********
030B : BPL 02FB   :   201288 cycles (  1.066686%)    50526 ins (3.98 cpi) *******
030D : BRA 0322   :     1224 cycles (  0.006486%)      408 ins (3.00 cpi)
030F : TYA        :   106386 cycles (  0.563772%)    53193 ins (2.00 cpi) ****
0310 : ORA (27)   :   265965 cycles (  1.409429%)    53193 ins (5.00 cpi) **********
0312 : STA (27)   :   265965 cycles (  1.409429%)    53193 ins (5.00 cpi) **********
0314 : LDA 27     :   159579 cycles (  0.845657%)    53193 ins (3.00 cpi) ******
0316 : ADC 20     :   159579 cycles (  0.845657%)    53193 ins (3.00 cpi) ******
0318 : STA 27     :   159579 cycles (  0.845657%)    53193 ins (3.00 cpi) ******
031A : LDA 28     :   159579 cycles (  0.845657%)    53193 ins (3.00 cpi) ******
031C : ADC 21     :   159579 cycles (  0.845657%)    53193 ins (3.00 cpi) ******
031E : STA 28     :   159579 cycles (  0.845657%)    53193 ins (3.00 cpi) ******
0320 : BPL 030F   :   158699 cycles (  0.840994%)    53193 ins (2.98 cpi) ******
0322 : SEC        :     9660 cycles (  0.051191%)     4830 ins (2.00 cpi)
0323 : LDA 2B     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0325 : SBC 2F     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0327 : STA 2B     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0329 : CLC        :     9660 cycles (  0.051191%)     4830 ins (2.00 cpi)
032A : LDA 25     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
032C : ADC 2D     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
032E : STA 25     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0330 : LDA 26     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0332 : ADC 2E     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0334 : STA 26     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0336 : SEC        :     9660 cycles (  0.051191%)     4830 ins (2.00 cpi)
0337 : LDA 29     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0339 : SBC 2D     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
033B : STA 29     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
033D : LDA 2A     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
033F : SBC 2E     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0341 : STA 2A     :    14490 cycles (  0.076787%)     4830 ins (3.00 cpi)
0343 : BCC 0363   :     9660 cycles (  0.051191%)     4830 ins (2.00 cpi)
0345 : CLC        :    23416 cycles (  0.124088%)    11708 ins (2.00 cpi)
0346 : LDA 2B     :    35124 cycles (  0.186133%)    11708 ins (3.00 cpi) *
0348 : ADC #1E    :    23416 cycles (  0.124088%)    11708 ins (2.00 cpi)
034A : BCS 02D3   :    32754 cycles (  0.173573%)    11708 ins (2.80 cpi) *
034C : STA 2B     :    21117 cycles (  0.111905%)     7039 ins (3.00 cpi)
034E : INC 25     :    35195 cycles (  0.186509%)     7039 ins (5.00 cpi) *
0350 : BNE 0354   :    21088 cycles (  0.111752%)     7039 ins (3.00 cpi)
0352 : INC 26     :      145 cycles (  0.000768%)       29 ins (5.00 cpi)
0354 : SEC        :    14078 cycles (  0.074604%)     7039 ins (2.00 cpi)
0355 : LDA 29     :    21117 cycles (  0.111905%)     7039 ins (3.00 cpi)
0357 : SBC #01    :    14078 cycles (  0.074604%)     7039 ins (2.00 cpi)
0359 : STA 29     :    21117 cycles (  0.111905%)     7039 ins (3.00 cpi)
035B : LDA 2A     :    21117 cycles (  0.111905%)     7039 ins (3.00 cpi)
035D : SBC #00    :    14078 cycles (  0.074604%)     7039 ins (2.00 cpi)
035F : STA 2A     :    21117 cycles (  0.111905%)     7039 ins (3.00 cpi)
0361 : BCS 0345   :    20956 cycles (  0.111052%)     7039 ins (2.98 cpi)
0363 : JMP 0259   :      483 cycles (  0.002560%)      161 ins (3.00 cpi)
0366 : SEI        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0367 : JSR 03D7   :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
036A : JSR 03D7   :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
